Nombre,Equipo,Minutos Jugados,Partidos,Goles,Asistencias,Distancia Cubierta,Top Speed
Hummels,Dortmund - Defender,1170,13,1,1,129.7,32
Mbappé,Paris - Forward,1080,12,8,0,106.7,36.1
Kimmich,Bayern - Defender,1080,12,1,2,145.6,31.8
Kobel,Dortmund - Goalkeeper,1080,12,0,0,67.6,27.3
Donnarumma,Paris - Goalkeeper,1080,12,0,0,57.3,27.1
Valverde,Real Madrid - Midfielder,1068,13,1,1,124.7,35.9
Kane,Bayern - Forward,1064,12,8,4,124.1,31.7
Füllkrug,Dortmund - Forward,1040,13,3,2,124.2,32.7
Rüdiger,Real Madrid - Defender,1039,12,0,1,107,35.4
Rodrygo,Real Madrid - Forward,1021,13,5,2,121,33.9
Bellingham,Real Madrid - Midfielder,993,11,4,5,117.4,32.5
Nacho,Real Madrid - Defender,981,12,0,0,104.1,33.7
Hakimi,Paris - Defender,981,11,1,1,121.3,36
Schlotterbeck,Dortmund - Defender,976,12,0,2,105.3,34.7
Dembélé,Paris - Forward,954,11,2,2,115,34.2
Gabriel,Arsenal - Defender,930,10,0,0,110.6,32.5
Oblak,Atlético de Madrid - Goalkeeper,930,10,0,0,52.6,24
Sané,Bayern - Midfielder,929,12,2,2,100.1,35.1
Sabitzer,Dortmund - Midfielder,929,12,1,5,120.3,32.2
Vitinha,Paris - Midfielder,914,12,2,1,116.8,32.3
Emre Can,Dortmund - Defender,913,11,0,0,110.7,34.2
Zaïre-Emery,Paris - Midfielder,905,11,1,3,116.7,33.8
Vinícius Júnior,Real Madrid - Forward,901,10,6,5,99.3,34.7
Saliba,Arsenal - Defender,901,10,0,0,102.3,34
Marquinhos,Paris - Defender,900,10,0,2,105.9,33.4
Ryerson,Dortmund - Defender,897,10,0,0,113.7,32.7
Witsel,Atlético de Madrid - Midfielder,887,10,0,0,100.8,31.5
Musiala,Bayern - Midfielder,882,11,2,1,105.3,34.7
Mendy,Real Madrid - Defender,871,11,0,0,97.2,34.7
Kroos,Real Madrid - Midfielder,861,12,0,2,108.9,29.9
Carvajal,Real Madrid - Defender,846,10,1,0,100.5,33.8
L. Hernández,Paris - Defender,842,11,1,0,100.8,33.2
Rice,Arsenal - Midfielder,840,10,0,0,111.2,32.8
Raya,Arsenal - Goalkeeper,840,9,0,0,56.4,30.7
Gündoğan,Barcelona - Midfielder,835,10,0,4,107.8,32.2
Havertz,Arsenal - Midfielder,832,10,1,0,112.3,33.7
Griezmann,Atlético de Madrid - Forward,821,10,6,1,98.8,33
Hermoso,Atlético de Madrid - Defender,818,9,1,1,98.9,32.8
João Cancelo,Barcelona - Defender,810,10,2,1,99.8,33.2
Neuer,Bayern - Goalkeeper,810,9,0,0,49.9,26.9
Molina,Atlético de Madrid - Defender,791,10,0,3,96.1,34
Camavinga,Real Madrid - Midfielder,790,11,0,1,99,34.7
Brandt,Dortmund - Midfielder,789,12,2,2,104.2,33.6
